"url","Link","Link_link","Value 1","Value 2","Value 3"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","The Revenge of Johnny Bonasera","http://www.vandal.net/juegos/pc/the-revenge-of-johnny-bonasera/42688","1/11/2016","Ordenador","Aventura Gráfica"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","The Whisperer in Darkness","http://www.vandal.net/juegos/pc/the-whisperer-in-darkness/42673","18/10/2016","Ordenador","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","Through the Woods","http://www.vandal.net/juegos/pc/through-the-woods/30959","27/10/2016","Ordenador","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","Tiger Knight: Empire War","http://www.vandal.net/juegos/pc/tiger-knight-empire-war/43032","25/10/2016","Ordenador","Acción / Multi Online"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","Titanfall 2","http://www.vandal.net/juegos/ps4/titanfall-2/30023","28/10/2016","PlayStation 4","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","Titanfall 2","http://www.vandal.net/juegos/pc/titanfall-2/30024","28/10/2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","Titanfall 2","http://www.vandal.net/juegos/xbone/titanfall-2/30025","28/10/2016","Xbox One","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","Tokyo Twilight Ghost Hunters: Daybreak Special Gigs","http://www.vandal.net/juegos/ps4/tokyo-twilight-ghost-hunters-daybreak-special-gigs/33081","21/10/2016","PlayStation 4","Aventura Gráfica"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","Tokyo Twilight Ghost Hunters: Daybreak Special Gigs PSN","http://www.vandal.net/juegos/psvita/tokyo-twilight-ghost-hunters-daybreak-special-gigs-psn/33082","21/10/2016","PSVITA","Aventura Gráfica"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","Tokyo Twilight Ghost Hunters: Daybreak Special Gigs PSN","http://www.vandal.net/juegos/ps3/tokyo-twilight-ghost-hunters-daybreak-special-gigs-psn/33083","21/10/2016","PlayStation 3","Aventura Gráfica"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","Tricky Test 2: Halloween","http://www.vandal.net/juegos/android/tricky-test-2-halloween-/43092","20/10/2016","Android","Estrategia / Otros"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","Trip to Vinelands","http://www.vandal.net/juegos/pc/trip-to-vinelands/43052","21/10/2016","Ordenador","Plataformas"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","Trolls: Crazy Party Forest!","http://www.vandal.net/juegos/android/trolls-crazy-party-forest/43107","25/10/2016","Android","Puzle"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","Trolls: Crazy Party Forest!","http://www.vandal.net/juegos/android/trolls-crazy-party-forest/43108","25/10/2016","Android","Puzle"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","Trolls: Crazy Party Forest!","http://www.vandal.net/juegos/iphone/trolls-crazy-party-forest/43109","25/10/2016","iPhone","Puzle"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","True Fear: Forsaken Souls","http://www.vandal.net/juegos/pc/true-fear-forsaken-souls/41515","19/10/2016","Ordenador","Aventura Gráfica"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","Twisty Board","http://www.vandal.net/juegos/iphone/twisty-board/43002","19/10/2016","iPhone","Velocidad"
"http://www.vandal.net/juegos/0/videojuegos/inicio/15","Ultimate Solid","http://www.vandal.net/juegos/pc/ultimate-solid/43079","24/10/2016","Ordenador","Plataformas"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","Superdimension Neptune VS Sega Hard Girls","http://www.vandal.net/juegos/psvita/superdimension-neptune-vs-sega-hard-girls/30049","21/10/2016","PSVITA","Rol"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","Sweet Volley High","http://www.vandal.net/juegos/pc/sweet-volley-high/42127","Octubre 2016","Ordenador","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","Switch 'N' Shoot","http://www.vandal.net/juegos/pc/switch-n-shoot/41045","17/10/2016","Ordenador","Acción / Shooter"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","Tales of Cosmos","http://www.vandal.net/juegos/pc/tales-of-cosmos/43041","20/10/2016","Ordenador",""
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","Tethered","http://www.vandal.net/juegos/ps4/tethered/39694","25/10/2016","PlayStation 4","Estrategia / Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","The Atomy","http://www.vandal.net/juegos/pc/the-atomy/40751","19/10/2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","The Beard in the Mirror","http://www.vandal.net/juegos/pc/the-beard-in-the-mirror/42583","25/10/2016","Ordenador","Aventura Gráfica"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","The Bellows","http://www.vandal.net/juegos/pc/the-bellows/42971","21/10/2016","Ordenador","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","The Bug Butcher","http://www.vandal.net/juegos/ps4/the-bug-butcher/42844","18/10/2016","PlayStation 4","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","The Bug Butcher","http://www.vandal.net/juegos/xbone/the-bug-butcher/42791","19/10/2016","Xbox One","Acción"
